"InvImages","InvRefIDPrefix","InvRefID","InvRefIDSuffix","InvCreationDate","ArtworkStatus::Status","InvTitle","InvPrice","GalleryLocationfor Inventory::GalName","InvHeight","InvWidth","InvDepth","Medium::MedMedium"
"size:1761,1361
image:Art Tracker Paintings/Beach Restaurant -oil on  Panel 19 x 25.5.jpg
imagewin:/C:/ArtTracker/Art Tracker Paintings/Beach Restaurant -oil on  Panel 19 x 25.5.jpg",,"30",,2012-02-16,"Sold","Beach Restaurant",1100,"Galeria Uno",19,25.25,,"Oil on canvas"
"size:3748,3107
image:Art Tracker Paintings/Beach Restaurant 2 - oil on panel 10 x 12.jpg
imagewin:/C:/ArtTracker/Art Tracker Paintings/Beach Restaurant 2 - oil on panel 10 x 12.jpg",,"147",,2015-03-27,,"Beach Restaurant 2",250,"Galeria Uno",10,12,1,"oil on panel
"
"size:3962,3136
image:Art Tracker Paintings/Beach Tablecloths - oil on panel 10 x 12.jpg
imagewin:/C:/ArtTracker/Art Tracker Paintings/Beach Tablecloths - oil on panel 10 x 12.jpg",,"148",,2015-03-27,,"Beach Tablecloths",250,"Galeria Uno",10,12,1,"oil on panel
"
"size:567,450
image:Art Tracker Paintings/Blue Pots - oil on canvas 16 x 20.jpg
imagewin:/C:/ArtTracker/Art Tracker Paintings/Blue Pots - oil on canvas 16 x 20.jpg",,"94",,2012-03-15,,"Blue Pots",900,"Vancouver home",16,20,,"Oil on canvas"
"size:3658,2888
image:Art Tracker Paintings/Blue Tarp - oil on canvas 11 x 14.jpg
imagewin:/C:/ArtTracker/Art Tracker Paintings/Blue Tarp - oil on canvas 11 x 14.jpg",,"151",,2015-03-27,,"Blue Tarp",300,"Galeria Uno",11,14,1,"oil on panel
"
"size:1692,2008
image:Art Tracker Paintings/Boat On Bowen - oil on canvas.jpg
imagewin:/C:/ArtTracker/Art Tracker Paintings/Boat On Bowen - oil on canvas.jpg",,"18",,2012-02-16,"Sold","Boat on Bowen",500,"SOLD",14,11,,"Oil on canvas"
"size:2048,1620
image:Art Tracker Paintings/Buganvileas On Yellow Wall - oil on canvas 22 x 28 Gallery Wrap.jpg
imagewin:/C:/ArtTracker/Art Tracker Paintings/Buganvileas On Yellow Wall - oil on canvas 22 x 28 Gallery Wrap.jpg",,"22",,2012-02-16,"Sold","Bouganvillas on Yellow Wall",,"SOLD",22,28,,"Oil on canvas"
"size:690,576
image:Art Tracker Paintings/Bouganvilea- oil on panel 10 x 12.jpg
imagewin:/C:/ArtTracker/Art Tracker Paintings/Bouganvilea- oil on panel 10 x 12.jpg",,"45",,2012-02-25,"Available","Buganvileas",,"Galeria Uno",10,12,,"oil on panel
"
"size:558,460
image:Art Tracker Paintings/Cactus And Lettuce - oil on canvas 22 x 26.jpg
imagewin:/C:/ArtTracker/Art Tracker Paintings/Cactus And Lettuce - oil on canvas 22 x 26.jpg",,"93",,2012-03-15,,"Cactus And Lettuce",1400,"Vancouver home",22,26,,"Oil on canvas"
"size:3754,2966
image:Art Tracker Paintings/Camping 2-  oil on canvas 11 x 14.jpg
imagewin:/C:/ArtTracker/Art Tracker Paintings/Camping 2-  oil on canvas 11 x 14.jpg",,"149",,2015-03-27,,"Camping 2",300,"Galeria Uno",11,14,1,"oil on panel
"
